PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_00726,A1BG,1,50,ug/ml,Spectral counting,Plasma,21632744,22,mg/ml,Plasma
HPRD_00726,A1BG,1,39.77,ug/ml,Multiple reaction monitoring,Blood,23221968,39.77,ug/ml,Blood
HPRD_00726,A1BG,1,132.8,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00726,A1BG,1,22,mg/ml,-,Plasma,20204147,,,
HPRD_00726,A1BG,1,225,ug/ml,-,Plasma,15627965,,,
HPRD_00726,A1BG,1,230,ug/ml,-,Plasma,20677825,,,
HPRD_00072,A2M,2,220,ug/ml,Spectral counting,Plasma,21632744,2.756,mg/ml,Blood
HPRD_00072,A2M,2,1.3-3.8,mg/ml,Single radial immunodiffusion,Serum,4172868,3.8,mg/ml,Serum
HPRD_00072,A2M,2,1.609,mg/ml,Multiple reaction monitoring,Plasma,23592487,1.609,mg/ml,Plasma
HPRD_00072,A2M,2,2.756,mg/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00072,A2M,2,1.4,mg/ml,Immunoassay,Plasma,16038022,,,
HPRD_00072,A2M,2,1.4,mg/ml,-,Plasma,19572557,,,
HPRD_00072,A2M,2,1.4,mg/ml,-,Plasma,20677825,,,
HPRD_00072,A2M,2,1.8,mg/ml,-,Plasma,19690635,,,
HPRD_00072,A2M,2,1.8,mg/ml,-,Plasma,20204147,,,
HPRD_00072,A2M,2,2,mg/ml,-,Plasma,12938928,,,
HPRD_00072,A2M,2,2,mg/ml,-,Plasma,15627965,,,
HPRD_00072,A2M,2,1.8,mg/ml,-,Plasma,15611012,,,
HPRD_00072,A2M,2,1.6-3.8,mg/ml,-,Plasma,14961748,,,
HPRD_00661,ABAT,18,9,ng/ml,Spectral counting,Plasma,21632744,9,ng/ml,Plasma
HPRD_09380,ABI3BP,25890,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_12842,ABRACL,58527,32,ng/ml,Spectral counting,Plasma,21632744,32,ng/ml,Plasma
HPRD_06815,ACAA1,30,26,ng/ml,Spectral counting,Plasma,21632744,26,ng/ml,Plasma
HPRD_10380,ACAA2,10449,26,ng/ml,Spectral counting,Plasma,21632744,26,ng/ml,Plasma
HPRD_01123,ACAN,176,7.1,ng/ml,Spectral counting,Plasma,21632744,7.1,ng/ml,Plasma
HPRD_00006,ACAT2,39,7.6,ng/ml,Spectral counting,Plasma,21632744,7.6,ng/ml,Plasma
HPRD_00108,ACE,1636,7.4,ng/ml,Spectral counting,Plasma,21632744,7.4,ng/ml,Plasma
HPRD_00108,ACE,1636,120,ng/ml,-,Plasma,16335952,,,
HPRD_00155,ACLY,47,1.1,ng/ml,Spectral counting,Plasma,21632744,1.1,ng/ml,Plasma
HPRD_00013,ACO1,48,6.3,ng/ml,Spectral counting,Plasma,21632744,6.3,ng/ml,Plasma
HPRD_01378,ACPP,55,3.5,ng/ml,-,Plasma,19690635,3.5,ng/ml,Plasma
HPRD_18598,ACTBL2,345651,750,ng/ml,Spectral counting,Plasma,21632744,750,ng/ml,Plasma
HPRD_00015,ACTC1,70,750,ng/ml,Spectral counting,Plasma,21632744,750,ng/ml,Plasma
